title	type	url_slug	venue	date	location	talk_url	description
Iron isotope fractionation during Earth's core-mantle segregation	Talk	APS-talk-1	APS March Meeting	3/5/2019	"Boston, MA"		Iron isotope fractionation during Earth's core-mantle segregation
Ab initio study of iron isotope fractionation during Earth's core-mantle segregation	Talk	APS-talk-2	APS March Meeting	3/6/2019	"Boston, MA"		Ab initio study of iron isotope fractionation during Earth's core-mantle segregation
